word;level;kana reading;TranslationEng;TranslationRus;SpecialReading;KanaOnly;check this;;
化学;3;か・がく;chemistry;химия;0;0;;;
科学;2;か・がく;science;наука;0;0;;;
書く;1;か・く;to write;писать;0;0;;;
家具;3;か・ぐ;furniture;мебель;0;0;;;
欠ける;3;か・ける;to be missing, to be short of;недоставать, не хватать, быть отломанным, отколоться;0;0;;;
過去;3;か・こ;the past;прошлое;0;0;;;
火山;4;か・ざん;a volcano;вулкан;0;0;;;
貸し出し;4;か・し・だ・し;loaning out;ссуда, займ, отдача во временное пользование;0;0;;;
歌手;3;か・しゅ;a singer;певец, певица;0;0;;;
貸す;1;か・す;to lend, to rent;одалживать, давать взаймы;0;0;;;
家族;1;か・ぞく;a family;семья;0;0;;;
家内;1;か・ない;one's own wife;моя жена;0;0;;;
火曜日;1;か・よう・び;Tuesday;вторник;0;0;;;
借りる;1;か・りる;to borrow;брать взаймы;0;0;;;
変わる;2;か・わる;to change;меняться, изменяться;0;0;;;
貝;4;かい;a shellfish;ракушка, моллюск;0;0;;;
会員;3;かい・いん;a member of an association;членство, член (клуба);0;0;;;
海外;3;かい・がい;oversea;заграница, иностранный;0;0;;;
会議;2;かい・ぎ;a conference;собрание, совещание, заседание, конференция;0;0;;;
外交;3;がい・こう;diplomacy;дипломатия;0;0;;;
会社;1;かい・しゃ;a company;фирма, компания;0;0;;;
階段;1;かい・だん;stairs;лестница;0;0;;;
会話;2;かい・わ;conversation;разговор, беседа, разговорная речь;0;0;;;
返す;1;かえ・す;to return;возвращать, отдавать обратно;0;0;;;
帰る;1;かえ・る;to go/come back;возвращаться, уходить (домой, обратно);0;0;;;
顔;1;かお;face;лицо;0;0;;;
書留;4;かき・とめ;a registered letter;заказная почта;0;0;;;
学者;3;がく・しゃ;a scholar;учёный, образованный человек;0;0;;;
学生;1;がく・せい;a student;студент;0;0;;;
風;1;かぜ;wind;ветер;0;0;;;
数える;3;かぞ・える;to count;считать, подсчитывать;0;0;;;
形;2;かたち;a shape;форма, вид;0;0;;;
学期;3;がっ・き;a school term;семестр;0;0;;;
楽器;4;がっ・き;a musical instrument;музыкальный инструмент;0;0;;;
学校;1;がっ・こう;a school;школа;0;0;;;
活字;4;かつ・じ;printed type;шрифт, литера;0;0;;;
活動;3;かつ・どう;activity;деятельность, активность;0;0;;;
悲しい;2;かな・しい;sad;печальный, грустный;0;0;;;
悲しむ;3;かな・しむ;to feel sad;грустить, печалиться, горевать;0;0;;;
必ず;2;かなら・ず;surely, without fail;обязательно, непременно;0;0;;;
彼女;2;かの・じょ;she;она, любимая (разг.);0;0;;;
紙;1;かみ;paper;бумага;0;0;;;
通う;2;かよ・う;to commute;ходить (туда и обратно), курсировать, посещать (школу);0;0;;;
体;1;からだ;a body;тело, здоровье;0;0;;;
軽い;1;かる・い;light;легкий;0;0;;;
彼;2;かれ;he;он, любимый (разг.);0;0;;;
感覚;3;かん・かく;a sense;ощущение, чувство (зрение, слух етк);0;0;;;
関西;4;かん・さい;the Kansai region;Кансай (юго-западная часть Японии);0;0;;;
漢字;1;かん・じ;Kanji;иероглиф;0;0;;;
感情;3;かん・じょう;a feeling;эмоция, чувство;0;0;;;
感じる;3;かん・じる;to feel;чувствовать, ощущать, быть тронутым;0;0;;;
関心;3;かん・しん;interest;интерес, заинтересованность;0;0;;;
関東;4;かん・とう;the Kanto region;Канто (восточная часть Японии);0;0;;;
考え;3;かんが・え;a thought, an idea;мысль, идея, мнение, намерение;0;0;;;
考える;2;かんが・える;to think;думать, размышлять, представлять себе, учитывать;0;0;;;
木;1;き;a tree;дерево;0;0;;;
消える;1;き・える;to disappear;гаснуть, исчезать, таять;0;0;;;
機会;2;き・かい;an opportunity, a chance;шанс, (благоприятный) случай;0;0;;;
機械;2;き・かい;a machine;машина, механизм, установка, прибор;0;0;;;
議会;3;ぎ・かい;Parliament;парламент, конгресс;0;0;;;
期間;3;き・かん;a period;период, срок, продолжительность;0;0;;;
機関;3;き・かん;an engine, an organ;машина, мотор, двигатель, инструмент, аппарат;0;0;;;
効く;3;き・く;to work on, to be effective;быть эффективным;0;0;;;
聞く;1;き・く;to hear, to listen to;слышать, слушать, спрашивать;0;0;;;
器具;4;き・ぐ;a utensil;прибор, инструмент, аппаратура, посуда;0;0;;;
記号;4;き・ごう;a sign, a symbol;символ, код, знак, эмблема;0;0;;;
聞こえる;2;き・こえる;can be heard;слышаться, звучать, казаться, производить впечатление, мочь слышать;0;0;;;
記事;3;き・じ;an article;статья, заметка, репортаж, рассказ;0;0;;;
記者;3;き・しゃ;a reporter;журналист, корреспондент;0;0;;;
技術;2;ぎ・じゅつ;art, skill;технология, мастерство, техника;0;0;;;
議長;3;ぎ・ちょう;a chairman;председатель, спикер;0;0;;;
記念;3;き・ねん;memory, a mements;воспоминания, память;0;0;;;
機能;3;き・のう;function;функция, способность;0;0;;;
気分;2;き・ぶん;a mood, a state of mind;самочувствие, настроение, расположение духа;0;0;;;
決める;2;き・める;to decide;решать, определять, устанавливать, назначать;0;0;;;
気持ち;2;き・も・ち;a feeling;самочувствие, настроение, расположение духа;0;0;;;
着物;2;き・もの;a kimono;кимоно;0;0;;;
切る;1;き・る;to cut;резать, прерывать;0;0;;;
着る;1;き・る;to wear;надевать одежду;0;0;;;
北;1;きた;the north;север;0;0;;;
喫茶店;1;きっ・さ・てん;a coffee shop;кафе;0;0;;;
切手;1;きっ・て;a postage stamp;почтовая марка;0;0;;;
切符;1;きっ・ぷ;a ticket;билет, талон;0;0;;;
客;2;きゃく;a guest, a customer;гость, посетитель, клиент;0;0;;;
急行;2;きゅう・こう;an express train;экспресс (транспорт);0;0;;;
急に;3;きゅう・に;suddenly;быстро, вдруг, внезапно, неожиданно, сразу;0;0;;;
牛肉;1;ぎゅう・にく;beef;говядина;0;0;;;
牛乳;1;ぎゅう・にゅう;cow's milk;молоко;0;0;;;
去年;1;きょ・ねん;last year;прошлый год;0;0;;;
今日;1;きょう;today;сегодня;1;0;;;
教育;2;きょう・いく;education;воспитание, образование, обучение;0;0;;;
教科書;3;きょう・か・しょ;a textbook;учебник;0;0;;;
教会;2;きょう・かい;a church;церковь;0;0;;;
教室;1;きょう・しつ;a classroom;класс, аудитория;0;0;;;
兄弟;1;きょう・だい;brothers;братья и сестры;0;0;;;
共同;3;きょう・どう;cooperation;сотрудничество, партнерство, объединение;0;0;;;
曲線;4;きょく・せん;a curved line;кривая (линия), дуга;0;0;;;
金;3;きん;gold;золото, деньги;0;0;;;
銀;3;ぎん;silver;серебро;0;0;;;
金魚;4;きん・ぎょ;a gold fish;золотая рыбка;0;0;;;
銀行;1;ぎん・こう;a bank;банк;0;0;;;
近所;2;きん・じょ;the neighborhood;близлежащая местность;0;0;;;
金曜日;1;きん・よう・び;Friday;пятница;0;0;;;
苦痛;3;く・つう;pain;боль, страдание;0;0;;;
区別;3;く・べつ;distinction;разница, различие, классификация;0;0;;;
来る;1;く・る;to come;приходить;0;0;;;
空気;2;くう・き;air;воздух, атмосфера;0;0;;;
空港;2;くう・こう;an airport;аэропорт;0;0;;;
薬;1;くすり;medicine;лекарство;0;0;;;
果物;1;くだ・もの;fruit;фрукты;1;0;;;
国;1;くに;a country;страна, государство;0;0;;;
配る;4;くば・る;to deliver;распространять, доставлять, распределять, раздать;0;0;;;
組;3;くみ;a group, a set;группа, класс, команда, множество;0;0;;;
雲;2;くも;a cloud;облако;0;0;;;
暗い;1;くら・い;dark;темный, мрачный, несведущий;0;0;;;
比べる;2;くら・べる;to compare;сравнивать, сопоставлять;0;0;;;
位;3;くらい;rank;ранг, чин, достоинство, положение, (мат.) десятичный разряд;0;0;;;
苦しい;3;くる・しい;painful, hard;тяжелый, мучительный, причиняющий боль;0;0;;;
苦しむ;3;くる・しむ;to suffer;страдать, мучиться;0;0;;;
車;1;くるま;a car;автомобиль, телега, вагон;0;0;;;
加える;3;くわ・える;to add;добавлять, прилагать, включать;0;0;;;
加わる;3;くわ・わる;to join;присоединяться, участвовать, прибавляться, увеличиваться;0;0;;;
毛糸;4;け・いと;woollen yarn;шерстяная пряжа;0;0;;;
外科;4;げ・か;surgery;хирургия;0;0;;;
消す;1;け・す;to remove;тушить, гасить, выключать, стирать;0;0;;;
経済;2;けい・ざい;economy;экономика;0;0;;;
形式;4;けい・しき;a form;форма, формальность, формула;0;0;;;
経由;3;けい・ゆ;via, by way of;через, проходить, проезжать через ч-л;0;0;;;
結果;3;けっ・か;a result;результат, эффект, последствия;0;0;;;
結婚;1;けっ・こん;marriage;брак, женитьба, замужество;0;0;;;
欠点;3;けっ・てん;a fault;недостаток, изъян, слабое место, неуд оценка;0;0;;;
月曜日;1;げつ・よう・び;Monday;понедельник;0;0;;;
結論;3;けつ・ろん;a conclusion;вывод, заключение;0;0;;;
県;3;けん;a prefecture;префектура;0;0;;;
原因;2;げん・いん;a cause, a factor;причина;0;0;;;
研究室;2;けん・きゅう・しつ;an office, a seminar room;лаборатория;0;0;;;
現金;3;げん・きん;cash;наличные деньги, меркантильный, корыстный;0;0;;;
言語;3;げん・ご;language;язык, речь, слова;0;0;;;
現在;3;げん・ざい;the present;настоящее время;0;0;;;
現代;3;げん・だい;modern times;современность, современная эпоха;0;0;;;
県庁;4;けん・ちょう;a prefectural office;администрация префектуры;0;0;;;
原料;4;げん・りょう;raw material;сырье;0;0;;;
呼吸;3;こ・きゅう;a breath;дыхание;0;0;;;
午後;1;ご・ご;afternoon, p.m.;вторая половина дня, после полудня;0;0;;;
個人;3;こ・じん;an individual;частное лицо, индивидуум, личный, персональный;0;0;;;
午前;1;ご・ぜん;morning, a.m.;до полудня, первая половина дня;0;0;;;
今年;1;こ・とし;this year;этот год;0;0;;;
公園;1;こう・えん;a park;общедоступный парк;0;0;;;
効果;3;こう・か;an effect;эффект, действие, результат;0;0;;;
公共;4;こう・きょう;public, common;общество, общественность, публичность;0;0;;;
工業;2;こう・ぎょう;industry, manufacture;промышленность, индустрия;0;0;;;
合計;3;ごう・けい;a total;итог, общая сумма;0;0;;;
高校生;2;こう・こう・せい;a high school student;старшеклассник;0;0;;;
広告;3;こう・こく;an advertisement;реклама, объявление, афиша;0;0;;;
工事;4;こう・じ;construction;строительные работы, стройка;0;0;;;
公式;4;こう・しき;a formula;церемония, обряд, формула;0;0;;;
工場;2;こう・じょう;a factory;завод, фабрика, мастерская;0;0;;;
高速;3;こう・そく;high-speed;высокоскоростной (в сочетаниях);0;0;;;
紅茶;1;こう・ちゃ;black tea;черный чай;0;0;;;
校長;2;こう・ちょう;a school principal;директор школы;0;0;;;
交通;2;こう・つう;traffic;сообщение, связь, движение;0;0;;;
交番;1;こう・ばん;a police box;полицейский пост;0;0;;;
黒板;3;こく・ばん;a blackboard;классная доска;0;0;;;
国民;3;こく・みん;a people, a nation;народ, нация;0;0;;;
国立;4;こく・りつ;national;национальный, государственный, учрежденный государством;0;0;;;
九日;1;ここの・か;the 9th day;девятое число, девять дней;0;0;;;
九つ;1;ここの・つ;nine (things);девять;0;0;;;
心;2;こころ;a heart, mind;сердце, душа;0;0;;;
答え;2;こた・え;an answer;ответ, решение (задачи);0;0;;;
答える;1;こた・える;to answer;отвечать;0;0;;;
事;2;こと;a matter, an affair;дело, обстоятельства, факт, случай;0;0;;;
言葉;1;こと・ば;language, a word;слово, слова, язык, речь;1;0;;;
細かい;2;こま・かい;small, detailed;мелкий, маленький, тщательный;0;0;;;
困る;1;こま・る;to fall into trouble;быть в затруднении;0;0;;;
米;2;こめ;rice;рис;0;0;;;
転ぶ;3;ころ・ぶ;to fall down;падать, опрокидываться;0;0;;;
今月;1;こん・げつ;this month;этот месяц;0;0;;;
今度;2;こん・ど;next time;(на) этот раз, недавно, (в) следующий раз;0;0;;;
今晩;1;こん・ばん;tonight;этот вечер, сегодня вечером;0;0;;;
今夜;2;こん・や;tonight;сегодня ночью;0;0;;;
婚約;3;こん・やく;an engagement;помолвка, обручение;0;0;;;
下がる;2;さ・がる;to go down;опускаться, падать, понижаться;0;0;;;
指す;3;さ・す;to point at;указывать;0;0;;;
座席;3;ざ・せき;a seat;сидячие места;0;0;;;
左右;3;さ・ゆう;right and left;лево и право, обе стороны, управлять, решать;0;0;;;
最近;2;さい・きん;recently;(в) последнее время;0;0;;;
最低;3;さい・てい;the lowest;минимальный, наименьший, разг. подлый, низкий;0;0;;;
材料;3;ざい・りょう;ingredients;материалы, ингредиенты, данные;0;0;;;
先;1;さき;ahead;впереди, дальше, острие, кончик;0;0;;;
作品;3;さく・ひん;a piece of work;произведение, опус, творчество;0;0;;;
作文;1;さく・ぶん;composition;сочинение;0;0;;;
雑音;4;ざつ・おん;noise;шум, резкий звук, помехи;0;0;;;
雑誌;1;ざっ・し;a magazine;журнал;0;0;;;
寒い;1;さむ・い;cold;холодный;0;0;;;
産地;4;さん・ち;producing area;место производства, место произрастания;0;0;;;
字;2;じ;a letter, a character;буква, иероглиф, знак;0;0;;;
試合;2;し・あい;a game;соревнование, матч, игра;0;0;;;
仕方;2;し・かた;how to, a method;способ, метод;0;0;;;
時間;1;じ・かん;time;время;0;0;;;
試験;2;し・けん;an examination;экзамен, испытание, проверка;0;0;;;
事故;2;じ・こ;an accident;происшествие, несчастный случай;0;0;;;
仕事;1;し・ごと;a job, work;работа, занятие;0;0;;;
事実;3;じ・じつ;a fact;факт, реальность, действительность, на самом деле;0;0;;;
辞書;1;じ・しょ;a dictionary;словарь;0;0;;;
時代;2;じ・だい;an era;время, времена, эпоха;0;0;;;
私鉄;4;し・てつ;a private railroad;частная железная дорога;0;0;;;
自転車;1;じ・てん・しゃ;a bicycle;велосипед;0;0;;;
自動車;1;じ・どう・しゃ;a car, an automobile;автомобиль;0;0;;;
自分;1;じ・ぶん;one's own;сам;0;0;;;
資本;3;し・ほん;capital, a fund;капитал;0;0;;;
姉妹;3;し・まい;sisters;сестры;0;0;;;
閉まる;1;し・まる;to close;быть закрытым;0;0;;;
自由;2;じ・ゆう;freedom, liberty;свобода;0;0;;;
知らせる;2;し・らせる;to let know, to inform;извещать, ставить в известность;0;0;;;
私立;4;し・りつ;private;частный (напр. учреждение);0;0;;;
資料;4;し・りょう;data, materials;материал, данные, документ;0;0;;;
知る;1;し・る;to know;знать;0;0;;;
式;2;しき;a ceremony, a formula;стиль…, тип…, вид…, церемония, ритуал, формальность, уравнение, формула;0;0;;;
静まる;4;しず・まる;to become quiet;успокаиваться,утихнуть, затихнуть, быть успокоенным;0;0;;;
親しい;3;した・しい;intimate, friendly;дружеский, близкий, задушевный;0;0;;;
下町;4;した・まち;downtown;нижняя (торговая) часть города;0;0;;;
質;3;しつ;quality;качество, характер (человека);0;0;;;
品物;2;しな・もの;goods, articles;товар;0;0;;;
島;2;しま;an island;остров;0;0;;;
社会;2;しゃ・かい;a society;общество;0;0;;;
写真;1;しゃ・しん;a photograph;фотография;0;0;;;
社長;2;しゃ・ちょう;the president;начальник, директор;0;0;;;
弱点;4;じゃく・てん;a weak point;слабое место, слабость;0;0;;;
借金;3;しゃっ・きん;a debt;долг, заём;0;0;;;
手術;3;しゅ・じゅつ;an operation;хирургическая операция;0;0;;;
趣味;2;しゅ・み;a hobby;вкус к ч-л, интерес, склонность, хобби;0;0;;;
受話器;4;じゅ・わ・き;a tel. receiver;телефонная трубка, наушники;0;0;;;
習慣;2;しゅう・かん;a habit, a custom;обычай, привычка;0;0;;;
住所;2;じゅう・しょ;an address;местожительство, адрес;0;0;;;
住宅;3;じゅう・たく;housing;квартира, жилой дом, жилище;0;0;;;
終点;4;しゅう・てん;a terminus;конечная остановка, конечный пункт;0;0;;;
住民;3;じゅう・みん;inhabitants;жители, население;0;0;;;
重力;4;じゅう・りょく;gravity;сила тяжести;0;0;;;
宿題;1;しゅく・だい;homework;домашнее задание;0;0;;;
書店;4;しょ・てん;a book store;книжный магазин;0;0;;;
書道;4;しょ・どう;calligraphy;каллиграфия;0;0;;;
書類;3;しょ・るい;paper, documents;документы, бумаги;0;0;;;
正月;2;しょう・がつ;the New Year;Новый Год, январь;0;0;;;
小学校;2;しょう・がっ・こう;a primary school;начальная школа;0;0;;;
乗客;3;じょう・きゃく;a passenger;пассажир;0;0;;;
商業;4;しょう・ぎょう;commerce;коммерция, торговля, бизнес;0;0;;;
正午;3;しょう・ご;high noon;полдень;0;0;;;
商社;4;しょう・しゃ;a trading company;торговая компания;0;0;;;
少女;3;しょう・じょ;a girl;девушка;0;0;;;
少々;3;しょう・しょう;a little, a few;немного, чуть-чуть;0;0;;;
小説;2;しょう・せつ;a novel;роман, повесть, рассказ, художественная литература;0;0;;;
商店;4;しょう・てん;a store;магазин, лавка;0;0;;;
少年;3;しょう・ねん;a boy;мальчик, подросток, малолетний;0;0;;;
商売;3;しょう・ばい;trade;торговля, бизнес, профессия;0;0;;;
商品;3;しょう・ひん;goods;товар(ы);0;0;;;
情報;3;じょう・ほう;information;информация, сведения;0;0;;;
食事;3;しょく・じ;a meal;принятие пищи, еда;0;0;;;
食器;4;しょっ・き;tableware;столовые приборы, посуда;0;0;;;
調べる;2;しら・べる;to check;расследовать, исследовать, проверять, смотреть в словаре;0;0;;;
信号;3;しん・ごう;a traffic light;светофор, сигнал, сигнализация;0;0;;;
人口;2;じん・こう;population;население, численность населения;0;0;;;
神社;2;じん・じゃ;a Shinto shrine;синтоистское святилище;0;0;;;
信じる;3;しん・じる;to believe;верить, доверять, быть уверенным;0;0;;;
新聞;1;しん・ぶん;a newspaper;газета;0;0;;;
深夜;4;しん・や;midnight;поздняя ночь;0;0;;;
森林;4;しん・りん;woods and forests;лес;0;0;;;
親類;4;しん・るい;relatives;родня, родственники, родство;0;0;;;
過ぎる;2;す・ぎる;to pass, to exceed;проходить мимо, проходить (о времени), истекать, превышать, чрезмерно, чересчур, слишком;0;0;;;
過ごす;3;す・ごす;to spend (time);проводить (время), превышать, переходить предел;0;0;;;
頭痛;3;ず・つう;a headache;головная боль, заботы (обр.);0;0;;;
住む;1;す・む;to live;жить, проживать;0;0;;;
済む;2;す・む;to finish;оканчиваться, обходиться, улаживаться;0;0;;;
水泳;2;すい・えい;swimming;плавание;0;0;;;
水準;3;すい・じゅん;a standard;уровень воды, уровень, степень;0;0;;;
水道;2;すい・どう;waterworks;водопровод;0;0;;;
水曜日;1;すい・よう・び;Wednesday;среда;0;0;;;
数学;2;すう・がく;mathematics;математика;0;0;;;
少し;1;すこ・し;a little, a few;немного, немножко;0;0;;;
涼しい;1;すず・しい;cool;прохладный, освежающий;0;0;;;
涼む;4;すず・む;to enjoy the cool air;охлаждаться, дышать прохладой, освежиться, выйти на воздух;0;0;;;
進める;3;すす・める;to advance, to promote;продвигать, передвигать вперед, развивать, повышать;0;0;;;
座る;1;すわ・る;to sit;сидеть, садиться;0;0;;;
性格;3;せい・かく;character;характер (человека), черта характера;0;0;;;
政治;2;せい・じ;politics;политика;0;0;;;
性質;4;せい・しつ;nature, character;характер, нрав, качество, свойство;0;0;;;
